oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
648211400000341,51444796,2458268.9451559102,58268.447962999999,19.9648056,0.112070009,0,zr,0.058681299999999999,34.276029399999999,0.782000005,-0.0799999982,20180530447951,648,0xb,0x4,20.1900005,26.2534695,0.0290077589,0.0966254994,8.64703088e-06,30,1.78600001,1
648211400000341,51744365,2458271.9410546478,58271.443657399999,20.2979527,0.140606314,0,zr,0.0586285,34.2759942,0.592000008,-0.0579999983,20180602443657,648,0xb,0x4,20.5499992,26.2357082,0.0267648995,0.108057797,7.28833129e-06,30,1.73699999,1
648211400000341,51943052,2458273.928057495,58273.430520800001,20.0385742,0.11804726,0,zr,0.058605999999999998,34.276071600000002,0.867999971,-0.108999997,20180604430521,648,0xb,0x4,20.8400002,26.2624226,0.0239011496,0.106234103,5.86787246e-06,30,1.83700001,3
648211400000341,52046682,2458274.9644393451,58274.466828700002,19.9849243,0.113678657,0,zr,0.058750700000000003,34.276029800000003,0.791000009,-0.119000003,20180605466782,648,0xb,0x4,20.8899994,26.3260002,0.0219984576,0.0919406116,5.07704817e-06,30,1.43700004,3
648211400000341,52047856,2458274.9761763094,58274.478564800003,20.0128326,0.115937121,0,zr,0.058581300000000003,34.2760234,0.939999998,0.145999998,20180605478542,648,0xb,0x4,20.9500008,26.3159065,0.0225537121,0.102597669,5.36293828e-06,30,1.35599995,1
648211400000341,52247107,2458276.9688322409,58276.471076399997,20.0788994,0.121404439,0,zr,0.058631000000000003,34.276001000000001,0.653999984,-0.225999996,20180607470961,648,0xb,0x4,20.8700008,26.3137646,0.0223501865,0.0929720029,5.16228965e-06,30,1.37,3
648211400000341,52342519,2458277.9230227033,58277.425196800003,20.1528492,0.127715409,0,zr,0.058551499999999999,34.276069300000003,0.47299999,0.0839999989,20180608425150,648,0xb,0x4,20.7900009,26.2135067,0.0227359012,0.0919635594,5.2682517e-06,30,1.76400006,3
648211400000341,52342611,2458277.9239370641,58277.426111100001,20.1885414,0.130828217,0,zr,0.058676300000000001,34.2759711,0.582000017,-0.0729999989,20180608426100,648,0xb,0x4,20.75,26.2201996,0.022916723,0.0890320018,5.36384459e-06,30,1.75300002,1
648211400000341,52447465,2458278.9725565524,58278.474652800003,20.2264118,0.134174779,0,zr,0.058645099999999999,34.276004100000002,0.89200002,-0.239999995,20180609474606,648,0xb,0x4,20.9300003,26.2998028,0.0201243572,0.102667585,4.14754777e-06,30,1.31400001,3
648211400000341,52646814,2458280.9662015927,58280.468148100001,20.3609028,0.146363497,0,zr,0.058745600000000002,34.276037299999999,0.675999999,-0.157000005,20180611468102,648,0xb,0x4,21.2099991,26.3292809,0.019658057,0.0901224911,3.97901431e-06,30,1.32000005,3
648211400000341,52647673,2458280.9747902569,58280.476736099998,20.2563515,0.136850044,0,zr,0.058664300000000003,34.276012399999999,0.638000011,0.173999995,20180611476713,648,0xb,0x4,20.9599991,26.3177204,0.0219644271,0.102362797,4.94501319e-06,30,1.27400005,1
648211400000341,52747340,2458281.9715327476,58281.473402800002,20.0269241,0.117089055,0,zr,0.0586261,34.276005499999997,1.03999996,-0.187000006,20180612473356,648,0xb,0x4,21.2399998,26.324543,0.0215168633,0.106624573,4.74958688e-06,30,1.27699995,3
648211400000341,52846773,2458282.9659376312,58282.467731500001,20.3790646,0.148037791,0,zr,0.058642300000000001,34.276031500000002,0.648000002,-0.210999995,20180613467708,648,0xb,0x4,20.8299999,25.9966221,0.0239620171,0.108714566,5.87335353e-06,30,1.29200006,3
648211400000341,52946728,2458283.9655633657,58283.467280099998,20.1201515,0.124900997,0,zr,0.058776799999999997,34.276120200000001,0.952000022,0.0480000004,20180614467257,648,0xb,0x4,21.0499992,26.3125095,0.0221241619,0.105576947,4.98185318e-06,30,1.27999997,3
