oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
1492210400011713,58144000,2458335.9440963864,58335.440000000002,20.7067451,0.164684415,0,zr,0.054415900000000003,1.5612978,0.704999983,-0.252000004,20180805439988,1492,0xa,0x4,21.3799992,26.251133,0.0218920633,0.123797581,1.64111898e-05,30,1.19599998,2
1492210400011713,58144045,2458335.9445478204,58335.440451399998,20.9850407,0.184894323,0,zr,0.054403100000000003,1.5612805999999999,0.615999997,-0.248999998,20180805440451,1492,0xa,0x4,21.3099995,26.2634277,0.0223784707,0.119706295,1.71144584e-05,30,1.19599998,2
1492210400011713,61834848,2458372.8543356606,58372.3484838,20.7507973,0.167883396,0,zr,0.054520100000000002,1.5612509999999999,0.639999986,-0.178000003,20180911348484,1492,0xa,0x4,21.2099991,26.277668,0.0188581981,0.104261152,1.28134025e-05,30,1.18299997,2
1492210400011713,63532835,2458389.834300275,58389.328356500002,20.5146828,0.15073669,0,zr,0.054459399999999998,1.5611908999999999,0.765999973,-0.222000003,20180928328322,1492,0xa,0x4,20.9799995,26.230938,0.0306322724,0.117992036,3.50100418e-05,30,1.20000005,2
1492210400011713,100533217,2458759.8380585317,58759.332175900003,21.1094837,0.193931341,0,zr,0.054409399999999997,1.5613220000000001,0.467999995,-0.137999997,20191003332176,1492,0xa,0x4,21.2800007,26.1701775,0.0210456531,0.112539344,1.62827691e-05,30,1.22800004,2
1492210400011713,100931975,2458763.8255583751,58763.319756899997,21.0767479,0.19155407,0,zr,0.0543907,1.5613322999999999,0.778999984,0.0260000005,20191007319722,1492,0xa,0x4,21.0699997,26.1637573,0.022670785,0.120598771,1.90583232e-05,30,1.22399998,2
1492210400011713,102524331,2458779.7485290077,58779.2433102,21.0233097,0.18767333,0,zr,0.054431599999999997,1.5612421000000001,0.593999982,-0.147,20191023243310,1492,0xa,0x4,21.1399994,26.1693001,0.0222820938,0.118735678,1.88156973e-05,30,1.18400002,3
1492210400011713,132540396,2459079.9089284129,59079.403969899999,21.2571869,0.204657674,0,zr,0.054491900000000003,1.5613551999999999,0.652999997,-0.0670000017,20200818403970,1492,0xa,0x4,21.5300007,26.2010117,0.0207998063,0.115417235,1.58879939e-05,30,1.18299997,2
1492210400011713,132540444,2459079.9094029483,59079.404444400003,21.0606079,0.190382004,0,zr,0.054345499999999998,1.5613021,0.665000021,0.119000003,20200818404433,1492,0xa,0x4,21.4599991,26.2024307,0.0219583288,0.113246232,1.77366728e-05,30,1.18299997,3
1492210400011713,133236974,2459086.8750558887,59086.369745399999,21.2544575,0.204459429,0,zr,0.054410699999999999,1.5612911,0.653999984,-0.0949999988,20200825369745,1492,0xa,0x4,21.7299995,26.2392635,0.0222967304,0.111299179,1.83949542e-05,30,1.19400001,2
1492210400011713,133237020,2459086.8755188175,59086.370208300003,21.4058685,0.215454936,0,zr,0.054290699999999997,1.5611831,0.634000003,0.247999996,20200825370208,1492,0xa,0x4,21.6299992,26.2506733,0.0212972686,0.116561316,1.68942952e-05,30,1.19400001,3
1492210400011713,133337981,2459087.885170484,59087.379814799999,21.6714249,0.234739661,0,zr,0.054413900000000001,1.5612315999999999,0.744000018,-0.229000002,20200826379815,1492,0xa,0x4,21.6499996,26.1682339,0.0253477767,0.109409288,2.37463846e-05,30,1.18400002,2
1492210400011713,135930478,2459113.8107462884,59113.304780099999,21.1947212,0.200121284,0,zr,0.054456200000000003,1.5612499,0.740999997,-0.345999986,20200921304780,1492,0xa,0x4,21.3799992,26.2075157,0.0218532886,0.113271408,1.62704237e-05,30,1.18700004,2
1492210400011713,135930525,2459113.8112207898,59113.305254600004,20.9303703,0.180924058,0,zr,0.0543381,1.5612075999999999,0.94599998,-0.409999996,20200921305243,1492,0xa,0x4,21.3500004,26.2031651,0.0209766589,0.116553292,1.4956091e-05,30,1.18599999,3
1492210400011713,137627902,2459130.7847865503,59130.279027800003,21.0751534,0.191438317,0,zr,0.054406299999999998,1.5612827,0.870000005,0.00400000019,20201008279016,1492,0xa,0x4,21.4400005,26.3058395,0.0234442204,0.115340337,1.84903347e-05,30,1.18400002,2
1492210400011713,137627950,2459130.7852610359,59130.2795023,21.0843983,0.192109704,0,zr,0.0543323,1.5613265000000001,0.289000005,0.00899999961,20201008279491,1492,0xa,0x4,21.4599991,26.3280735,0.0270338133,0.111504674,2.49133336e-05,30,1.18400002,3
