oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
600207100015052,52946773,2458283.9662670163,58283.467731500001,21.0370216,0.184073091,0,zr,0.1046734,25.408585500000001,0.653999984,-0.0549999997,20180614467720,600,0x7,0x1,20.9500008,26.2506065,0.0227903109,0.108742163,7.1531781e-06,30,1.32500005,1
600207100015052,53847836,2458292.9776902469,58292.478368099997,20.8826523,0.172954798,0,zr,0.1049041,25.4086599,0.84799999,-0.0189999994,20180623478345,600,0x7,0x1,21.2199993,26.2728615,0.0208524149,0.107000031,6.07058519e-06,30,1.15999997,1
600207100015052,56245527,2458316.9567378508,58316.4552778,21.3563786,0.207074285,0,zr,0.1047896,25.408601699999998,0.842999995,-0.171000004,20180717455208,600,0x7,0x1,21.6200008,26.1857643,0.0212155934,0.097291559,6.17395381e-06,30,1.05200005,1
600207100015052,56544789,2458319.9496128098,58319.447893500001,21.3846512,0.209110618,0,zr,0.1048443,25.408543300000002,0.563000023,0.202000007,20180720447882,600,0x7,0x1,21.7099991,26.2797375,0.0195902083,0.0974928439,5.30466878e-06,30,1.051,1
600207100015052,56841278,2458322.9147616462,58322.412789399998,20.8704586,0.172076583,0,zr,0.1047657,25.4086392,1.55999994,-0.409000009,20180723412766,600,0x7,0x1,21.5100002,26.2766056,0.0208642185,0.0965823829,5.98808674e-06,30,1.11000001,1
600207100015052,58038635,2458334.8892962951,58334.386354200004,20.8643589,0.171637297,0,zr,0.1048622,25.408610599999999,0.684000015,-0.0419999994,20180804386354,600,0x7,0x1,21.1499996,26.2514973,0.0227481946,0.0992760807,7.07267782e-06,30,1.09399998,1
600207100015052,58333842,2458337.8415914532,58337.338425900001,21.2712002,0.200939417,0,zr,0.10477359999999999,25.4085745,0.773000002,0.104000002,20180807338414,600,0x7,0x1,21.7000008,26.2420673,0.023429215,0.105771132,7.51351899e-06,30,1.23300004,1
600207100015052,58935747,2458343.8610746488,58343.357476899997,21.341404,0.205995798,0,zr,0.1047751,25.408693,0.342999995,0.0839999989,20180813357465,600,0x7,0x1,21.5300007,26.2476521,0.0192877147,0.0960912555,5.12549377e-06,30,1.10599995,1
600207100015052,59239626,2458346.900064352,58346.396261599999,21.0332508,0.183801413,0,zr,0.1047246,25.408569,0.731000006,-0.115999997,20180816396238,600,0x7,0x1,21.6800003,26.2024364,0.0222063586,0.108717903,6.75658885e-06,30,1.02400005,1
600207100015052,59534840,2458349.8523954567,58349.348402800002,21.3392754,0.205842495,0,zr,0.1047102,25.4086873,1.00800002,0.119000003,20180819348380,600,0x7,0x1,21.7399998,26.2537308,0.0224450622,0.100380994,7.08489051e-06,30,1.08800006,1
