oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
550207200002139,52047946,2458274.9774352727,58274.479467600002,19.9956207,0.119517855,0,zr,0.066061499999999995,18.640002899999999,1.11600006,-0.214000002,20180605479468,550,0x7,0x2,20.6800003,26.2272472,0.0254888739,0.118925549,1.00754251e-05,30,1.50100005,1
550207200002139,52647857,2458280.9770689337,58280.478576399997,20.290741,0.142184332,0,zr,0.066060900000000006,18.639811699999999,0.986000001,-0.405999988,20180611478565,550,0x7,0x2,20.9099998,26.2404709,0.0251046419,0.115017764,9.67377673e-06,30,1.38199997,1
550207200002139,52946496,2458283.9637259045,58283.464965300001,20.3358803,0.145613015,0,zr,0.066096799999999997,18.6399002,0.828999996,-0.0529999994,20180614464954,550,0x7,0x2,21,26.2365589,0.0235719532,0.116673931,8.49113712e-06,30,1.421,1
550207200002139,53246855,2458286.9675870263,58286.4685532,20.1848602,0.134030297,0,zr,0.0661664,18.639961799999998,0.707000017,0.0250000004,20180617468553,550,0x7,0x2,21.1000004,26.2675037,0.0230914596,0.103063703,8.07665401e-06,30,1.34000003,1
550207200002139,53546620,2458289.9655130589,58289.466203700002,20.3686657,0.148071274,0,zr,0.066106899999999996,18.639887300000002,0.75999999,-0.0289999992,20180620466192,550,0x7,0x2,21.3600006,26.2485046,0.0239197593,0.120118514,8.97010432e-06,30,1.30599999,1
550207200002139,53847929,2458292.9788824446,58292.479293999997,19.9000931,0.112407863,0,zr,0.066091499999999997,18.639821699999999,1.18900001,-0.165000007,20180623479282,550,0x7,0x2,21.0900002,26.2721672,0.0238090623,0.114158519,8.95442554e-06,30,1.204,1
550207200002139,55143383,2458305.9346270892,58305.433831000002,20.2798977,0.141354829,0,zr,0.065980300000000006,18.639872700000002,0.503000021,-0.101000004,20180706433831,550,0x7,0x2,20.9500008,26.1926422,0.0265684575,0.121789455,1.08771574e-05,30,1.24899995,1
550207200002139,55644153,2458310.9427978378,58310.441539400003,20.0805321,0.12598303,0,zr,0.065901899999999999,18.639917700000002,1.21399999,-0.245000005,20180711441528,550,0x7,0x2,20.9699993,26.1069527,0.0269925091,0.130956441,1.11320942e-05,30,1.16299999,1
550207200002139,55942054,2458313.9220740595,58313.420544000001,20.2740841,0.14090921,0,zr,0.066081699999999993,18.639929299999999,1.03799999,-0.158999994,20180714420532,550,0x7,0x2,21.5599995,26.1197395,0.0251180306,0.114524573,9.68641689e-06,30,1.21200001,1
550207200002139,56246145,2458316.9632621328,58316.4614583,20.2004433,0.135235026,0,zr,0.066003000000000006,18.639911699999999,0.926999986,-0.0670000017,20180717461458,550,0x7,0x2,21.6200008,26.1675529,0.0235348213,0.108981393,8.381302e-06,30,1.07299995,1
