oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
498213200022306,59440172,2458348.9064157964,58348.4017245,21.596241,0.270987034,0,zr,0.9038484,8.0186822000000006,1.04999995,-0.555000007,20180818401725,498,0xd,0x2,21.6700001,26.100338,0.0266813915,0.0932533816,2.43408231e-05,30,1.15600002,3
498213200022306,91846255,2458672.9639163548,58672.462557899999,21.649332,0.275235415,0,zr,0.90394399999999997,8.0185762999999994,0.940999985,-0.446999997,20190708462558,498,0xd,0x2,21.7000008,26.050602,0.0249429978,0.0979597718,2.11763581e-05,30,1.22899997,1
498213200022306,94039931,2458694.9026318658,58694.399317099997,21.6762543,0.277389646,0,zr,0.90371330000000005,8.0186732000000003,0.860000014,-0.150999993,20190730399317,498,0xd,0x2,21.8199997,26.0354309,0.0254133567,0.106445156,2.20047659e-05,30,1.23899996,3
498213200022306,105714574,2458811.6489776927,58811.145740699998,21.0283375,0.225543857,0,zr,0.90396549999999998,8.0185651,0.82099998,-0.605000019,20191124145729,498,0xd,0x2,20.7800007,26.037405,0.0341422483,0.0785742998,3.93826558e-05,30,1.13900006,1
498213200022306,130736296,2459061.8664152664,59061.362963,20.8342361,0.210011959,0,zr,0.90402870000000002,8.0182458000000008,0.828000009,-0.275000006,20200731362917,498,0xd,0x2,21.0300007,26.1465816,0.0269254912,0.0951825902,2.47071293e-05,30,1.37699997,1
498213200022306,165843341,2459412.9356517931,59412.433414400002,21.3303185,0.249708176,0,zr,0.90395369999999997,8.0186668000000001,0.333999991,-0.224999994,20210717433368,498,0xd,0x2,21.3600006,26.0098915,0.0296459533,0.0908693895,3.03260695e-05,30,1.23699999,1
498213200022306,203341285,2459787.9159462792,59787.412858800002,21.7756691,0.285344839,0,zr,0.90391010000000005,8.0186784000000007,0.510999978,-0.057,20220727412859,498,0xd,0x2,21.5900002,26.1338367,0.0314404741,0.084761247,3.38719983e-05,30,1.21899998,1
499203400030255,61135063,2458365.856150948,58365.3506366,21.613802,0.259128213,0,zr,0.9039836,8.0182672999999998,0.707000017,-0.286000013,20180904350625,499,0x3,0x4,21.4599991,26.1575527,0.0275704674,0.107252389,2.43361355e-05,30,1.08700001,3
499203400030255,67423592,2458428.7404869641,58428.2359259,21.8117275,0.275140405,0,zr,0.90368479999999995,8.0181924000000002,0.236000001,-0.0909999982,20181106235914,499,0x3,0x4,21.3099995,26.1534081,0.0279179383,0.121398404,2.55792802e-05,30,1.10300004,1
499203400030255,92047928,2458674.9808316138,58674.479282400003,21.2410622,0.228973508,0,zr,0.90375749999999999,8.0186253999999995,0.588999987,-0.199000001,20190710479282,499,0x3,0x4,21.3899994,26.1161232,0.0262014698,0.10504467,2.27854453e-05,30,1.12300003,1
499203400030255,94539363,2458699.8973441888,58699.393634300002,21.6062241,0.25851512,0,zr,0.90395499999999995,8.0184838000000003,0.759000003,-0.149000004,20190804393623,499,0x3,0x4,21.6399994,26.04883,0.0285280123,0.111507326,2.68286149e-05,30,1.16600001,3
499203400030255,130643153,2459060.9349169671,59060.4315394,21.6937981,0.265599966,0,zr,0.90386429999999995,8.0184621000000007,0.555000007,-0.165000007,20200730431528,499,0x3,0x4,21.9300003,26.2584648,0.0284203887,0.100283988,2.66211628e-05,30,1.10699999,1
499203400030255,132540163,2459079.9063525391,59079.4016319,21.7074871,0.266707301,0,zr,0.90381769999999995,8.0184187999999992,0.742999971,-0.116999999,20200818401632,499,0x3,0x4,21.6399994,26.1559486,0.025101345,0.107671745,2.06429868e-05,30,1.08099997,1
499203400030255,164942256,2459403.9239697172,59403.422569399998,21.4448318,0.245458484,0,zr,0.90385539999999998,8.0186831000000005,0.623000026,-0.488000005,20210708422535,499,0x3,0x4,21.4099998,26.1377296,0.0259375647,0.104862876,2.22950348e-05,30,1.352,1
499203400030255,168037037,2459434.8744119927,59434.3703704,21.5208359,0.25160718,0,zr,0.90389140000000001,8.0185457000000007,0.822000027,-0.0689999983,20210808370370,499,0x3,0x4,21.7099991,26.1795177,0.0250824261,0.112750441,2.08421243e-05,30,1.20000005,1
499203400030255,203341238,2459787.9154717913,59787.412384299998,21.8945045,0.281837106,0,zr,0.90339250000000004,8.0183949000000005,0.430000007,-0.284999996,20220727412384,499,0x3,0x4,21.6000004,26.1982079,0.0268628225,0.0978746265,2.36693195e-05,30,1.17200005,1
