oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
396207300000790,52048228,2458274.9810310579,58274.482280099997,20.098465,0.141573787,0,zr,0.073591199999999996,-3.7005446000000002,0.927999973,-0.342000008,20180605482269,396,0x7,0x3,20.3099995,26.1716347,0.0308771264,0.109204821,2.21351365e-05,30,2.00900006,1
396207300000790,55843943,2458312.9418165418,58312.439432899999,21.2461357,0.23101151,0,zr,0.073572899999999997,-3.7005476000000002,0.81099999,-0.335000008,20180713439433,396,0x7,0x3,21.5799999,26.0860157,0.0303809866,0.123639122,2.06977147e-05,30,1.43200004,1
396207300000790,58245636,2458336.9606812806,58336.456365700004,21.1877289,0.226482272,0,zr,0.073570200000000002,-3.7005667999999998,0.779999971,-0.142000005,20180806456354,396,0x7,0x3,21.5200005,26.2444382,0.0253593829,0.118220016,1.42468853e-05,30,1.24800003,1
396207300000790,58846356,2458342.9682696769,58342.463564799997,21.2306461,0.229810357,0,zr,0.073595499999999994,-3.7005241,0.683000028,0.152999997,20180812463553,396,0x7,0x3,21.4699993,26.1173477,0.0265915189,0.12171483,1.5780226e-05,30,1.26600003,1
396207300000790,59138101,2458345.8858958166,58345.381018499997,21.0574455,0.216379285,0,zr,0.073700399999999999,-3.7005884,0.842999995,-0.136999995,20180815381007,396,0x7,0x3,21.5100002,26.1264534,0.0249599423,0.124308668,1.38248852e-05,30,1.31700003,1
396207300000790,59441312,2458348.9181693839,58348.413124999999,21.1604805,0.224369287,0,zr,0.073672100000000004,-3.7005963999999998,0.552999973,-0.180000007,20180818413125,396,0x7,0x3,21.6700001,26.1784534,0.0245066341,0.119015999,1.36463195e-05,30,1.255,1
396207300000790,59739608,2458351.9012842299,58351.396088000001,21.357605,0.239655614,0,zr,0.073639899999999994,-3.7006473999999998,1.273,0.0759999976,20180821396088,396,0x7,0x3,21.8799992,26.2357712,0.0357039124,0.11184714,2.87905495e-05,30,1.26100004,1
396207300000790,60942101,2458363.9266940122,58363.421018499997,20.7595901,0.193281651,0,zr,0.073405600000000001,-3.7007097,0.879999995,-0.061999999,20180902421018,396,0x7,0x3,21.0100002,26.194046,0.0282694176,0.11935012,1.81634059e-05,30,1.27600002,1
396207300000790,61837041,2458372.8763018078,58372.370416700003,21.3868923,0.24192667,0,zr,0.073642100000000002,-3.7004747,0.298999995,-0.134000003,20180911370382,396,0x7,0x3,21.4699993,26.2572613,0.025025418,0.116944633,1.4156436e-05,30,1.24000001,1
396207300000790,62437824,2458378.8841921184,58378.378240700004,21.1672153,0.224891543,0,zr,0.073654899999999995,-3.7005556999999998,0.531000018,-0.074000001,20180917378241,396,0x7,0x3,21.5100002,26.2316761,0.0276772212,0.122163929,1.73586395e-05,30,1.27199996,1
